نوع البطوله,الفريق الاول,الفريق التاني,النتيجه,موعد المباراه
دوري أبطال أفريقيا,جور ماهيا,الأهلي,0 - 3,15:00
دوري أبطال أفريقيا,نادي سامارتكس,الرجاء البيضاوي,2 - 2,18:00
دوري أبطال أفريقيا,ديكيداها,الترجى الرياضي,1 - 4,19:00
دوري أبطال أفريقيا,سان بيدرو,الهلال السوداني,2 - 2,19:00
دوري أبطال أفريقيا,ستاد أبيدجان,ميلو إف سي,2 - 0,22:00
الكونفيدرالية الإفريقية,أورابا يونايتد,ديناموز,0 - 1,17:00
الكونفيدرالية الإفريقية,نادي برافوس دو ماكيس,سانت إيلوا لوبوبو,1 - 0,18:00
الكونفيدرالية الإفريقية,روكينزو,الصفاقســــي,0 - 1,18:00
الكونفيدرالية الإفريقية,إي إس سي كارا,أسيك أبيدجـــــان,2 - 1,19:00
الكونفيدرالية الإفريقية,الهلال الليبي,المصري,3 - 2,20:00
الكونفيدرالية الإفريقية,أهلي طرابلس,سيمبا,0 - 0,20:00
الدوري الإنجليزي,توتنهام هوتسبر,أرسنال,0 - 1,16:00
الدوري الإنجليزي,وولفرهامبتون,نيوكاسل,1 - 2,18:30
الدوري الإسباني,سيلتا فيجو,بلد الوليد,3 - 1,15:00
الدوري الإسباني,جيرونا,برشلونة,1 - 4,17:15
الدوري الإسباني,لاس بالماس,أتلتيك بلباو,2 - 3,19:30
الدوري الإسباني,اتلتيكو مدريد,فالنسيا,3 - 0,22:00
الدوري الفرنسي,رين,مونبيليه,3 - 0,16:00
الدوري الفرنسي,نانت,ريمس,1 - 2,18:00
الدوري الفرنسي,ستراسبورج,أنجيه,1 - 1,18:00
الدوري الفرنسي,تولوز,لوهافر,2 - 0,18:00
الدوري الفرنسي,لانس,ليون,0 - 0,21:45
الدوري الألماني,أوجسبورج,سانت باولي,3 - 1,16:30
الدوري الألماني,ماينز,فيردر بريمن,1 - 2,18:30
الدوري الإيطالي,جنوى,روما,1 - 1,13:30
الدوري الإيطالي,أتالانتا,فيورنتينا,3 - 2,16:00
الدوري الإيطالي,تورينو,ليتشي,0 - 0,16:00
الدوري الإيطالي,كالياري,نابولي,0 - 4,19:00
الدوري الإيطالي,مونزا,إنتر ميلان,1 - 1,21:45
الدوري السعودي,القادسية,الشباب,0 - 1,18:20
الدوري السعودي,الخلود,العروبة,3 - 3,18:50
الدوري السعودي,الاتحاد,الوحدة,7 - 1,21:00
الدوري التركي,قاسم باشا,فنربخشة,0 - 2,17:00
الدوري التركي,قيصري سبور,ايوبسبور,2 - 2,17:00
الدوري التركي,ألانيا سبور,هاتاي سبور,0 - 0,20:00
الدوري التركي,طرابزون سبور,بشكتاش,1 - 1,20:00
الدوري البرتغالي,بورتو,فيرنسي,2 - 1,17:30
الدوري البرتغالي,إستوريل,ناسيونال ماديرا,1 - 0,20:00
الدوري البرتغالي,سبورتينج براجا,فيتوريا جيماريش,0 - 2,22:30
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,0 - 1,18:00
الدوري المغربي,نهضة الزمامرة,الدفاع الجديدي,1 - 2,20:00
الدوري المغربي,الفتح الرباطي,شباب المحمدية,4 - 0,22:00
الدوري التونسي,اتحاد تطاوين,البنزرتي,2 - 0,17:30
